19	"specific row row combinations"	rdfs:subClassOf	"row row combinations"
19	"want as user"	local:as_user	"want"
19	"want as user"	local:want_as	"user"
19	"identify as keys"	local:as_keys	"identify"
19	"identify as keys"	local:identify_as	"keys"
19	"keys of primary secondary foreign type"	local:of_primarysecondaryforeigntype	"keys"
19	"keys of primary secondary foreign type"	local:keys_of	"primary secondary foreign type"
19	"want"	local:AM-ADV	"a user,"
19	"want"	vn.role:Agent	"I"
19	"want"	vn.role:Theme	"identify specific row or row combinations as keys of primary, secondary or foreign type."
19	"identify"	local:AM-MNR	"keys of primary, secondary or foreign type."
19	"identify"	vn.role:Agent	"I"
19	"identify"	vn.role:Theme	"specific row or row combinations"
20	"automatically infer"	rdfs:subClassOf	"infer"
20	"database software"	rdfs:subClassOf	"software"
20	"want as user"	local:as_user	"want"
20	"want as user"	local:want_as	"user"
20	"type of data"	local:of_data	"type"
20	"type of data"	local:type_of	"data"
20	"data entered"	local:_entered	"data"
20	"data entered"	local:data_	"entered"
20	"want"	local:AM-ADV	"a user,"
20	"want"	vn.role:Agent	"I"
20	"want"	vn.role:Theme	"database software"
20	"infer"	local:AM-MNR	"automatically"
20	"infer"	vn.role:Agent	"database software"
20	"infer"	vn.role:Theme	"type of the data being entered."
21	"database software"	rdfs:subClassOf	"software"
21	"want as user"	local:as_user	"want"
21	"want as user"	local:want_as	"user"
21	"want"	local:AM-MNR	"a user,"
21	"want"	local:AM-PNC	"support transactions, such that all or no changes are applied."
21	"want"	vn.role:Agent	"I"
21	"want"	vn.role:Theme	"database software"
21	"support"	vn.role:Theme	"database software"
21	"support"	vn.role:Experiencer	"transactions, such"
22	"ACID properties"	rdfs:subClassOf	"properties"
22	"want as user"	local:as_user	"want"
22	"want as user"	local:want_as	"user"
22	"atomicity durability"	local:_durability	"atomicity"
22	"atomicity durability"	local:atomicity_	"durability"
22	"want"	local:AM-ADV	"a user,"
22	"want"	vn.role:Agent	"I"
22	"want"	vn.role:Theme	"transactions"
22	"satisfy"	vn.role:Experiencer	"transactions"
22	"satisfy"	vn.role:Cause	"ACID properties"
